record_id,patent_id,title,abstract,rep_claim,app_no,grant_no,pub_no,app_date,grant_date,assignee,current_owner,assignee_country,cpc_main_orig,cpc_main,cpc_all,family_id,family_size,n_backward_cites,n_forward_cites,n_claims,wips_key
15/243790,9704126,Inventory handling by anisotropically adhesive gripping,Robotic inventory handlers can include two or more gripping elements connected with a lifting assembly. The gripping elements can be subjected to outward lateral force when in contact with inventory items such that the anisotropically adhesive surface engages an inventory item with an adhesive force. Inventory systems can employ robotic inventory handlers as described to lift and displace inventory items using the adhesive force.,"1. An inventory management system for manipulating inventory in a facility, the inventory management system comprising: a robotic inventory handler comprising: a first gripping element configured to grip an inventory item in response to the first gripping element being loaded in shear;a second gripping element configured to grip the inventory item in response to the second gripping element being loaded in shear; anda lifting assembly to which the first and second gripping elements are mounted, the lifting assembly being configured to: generate a first shear force for application to the inventory item by the first gripping element, the first shear force being oriented to load the first gripping element in shear;generate a second shear force for application to the inventory item by the second gripping element, the second shear force being oriented to load the second gripping element in shear, the first and second shear forces being directed away from each other so as to induce surface tension in the inventory item; andmove the inventory item via the first and second gripping elements gripping the inventory item; andan inventory management component including at least one processor and tangible non-transitory memory storing instructions executable by the at least one processor to cause the robotic inventory handler to: bring the first and second gripping elements into contact with the inventory item;generate the first and second shear forces to cause the first and second gripping elements to grip the inventory item; andmove the inventory item via the first and second gripping elements gripping the inventory item.",15/243790,9704126,,2016-08-22,2017-07-11,"Amazon Technologies, Inc.","AMAZON TECHNOLOGIES, INC.",US,G06Q-0010/087,G06Q-0010/0877,G06Q-0010/0877 | G06Q-0010/087 | B25J-0009/1612 | B25J-0009/1669 | B25J-0015/0014 | B25J-0015/0061 | B25J-0015/008 | B65G-0047/90 | G05B-0019/402 | B65G-2207/02 | G05B-2219/39466 | Y10S-0901/30,5332525,6,4,10,20,4917028004827
15/243859,9889560,Robot system for operating robot from plurality of teaching devices,"It is assumed that when a first teaching device is communicating with an active task unit in a robot control device, a second teaching device transmits a request to connect to the active task unit, to the robot control device. In such a case, the robot control device is configured to stop the first teaching device executing active tasks, and establish communication between the second teaching device and the active task unit of the robot control device which allows active tasks to be executed thereby.","1. A robot system comprising: at least one robot control device which controls a robot; andat least two teaching devices which allows connection to the robot control device via a communication medium,whereinthe robot control device comprises:an active task unit which executes an active task, anda passive task unit which executes passive tasks, wherein,when one teaching device of the at least two teaching devices is communicating with the active task unit inside the robot control device, if a request for connecting to the active task unit is transmitted from another teaching device of the at least two teaching devices to the robot control device, the robot control device is configured to stop the one teaching device executing an active task, establish communication allowing an active task to be executed between the other teaching device and the active task unit of the robot control device, and simultaneously establish communication allowing passive tasks to be executed between the one teaching device stopped executing the active task and the passive task unit of the robot control device.",15/243859,9889560,2017-0057083,2016-08-22,2018-02-13,FANUC CORPORATION,FANUC CORPORATION,JP,B25J-0009/161,B25J-0009/161,B25J-0009/161 | G05B-0019/409 | G05B-2219/36153 | G05B-2219/36159,86337995,4,13,10,3,4918007001607
15/243034,10189158,Robot manipulator with modular torque controlled link,"An example torque controlled actuator includes a frame, and one or more timing belt stages coupled in serial on the frame. The timing belt stages include an input stage for coupling to a motor and an output stage for coupling to a load, and the timing belt stages couple rotation of the motor to rotation of an output of the output stage. The torque controlled actuator also includes one or more belt idlers coupled to the frame that contact a timing belt of the output stage, and a strain gauge coupled to the frame to determine a tension of the timing belt of the output stage based on force applied by the timing belt of the output stage to the one or more belt idlers.","1. An actuator system comprising: multiple torque controlled actuators arranged side-by-side, wherein a given torque controlled actuator of the multiple torque controlled actuators comprises one or more timing belt stages coupled in serial including an input stage for coupling to a motor and an output stage for coupling to a load, wherein the one or more timing belt stages couple rotation of the motor to rotation of an output of the output stage;a common frame to couple the multiple torque controlled actuators in the side-by-side arrangement; anda differential coupled to outputs of the multiple torque controlled actuators to create a multiple degree of freedom (DOF) actuated joint.",15/243034,10189158,2016-0368139,2016-08-22,2019-01-29,X DEVELOPMENT LLC,X DEVELOPMENT LLC,US,B25J-0009/1045,B25J-0009/1045,B25J-0009/1045 | F16H-0007/02,27833237,3,13,9,20,4919005001773
15/244106,10369703,"Robot, control device, and robot system",A robot includes an arm. A first inclinometer is provided in a grasping unit provided in the arm or an object grasped by the grasping unit. The arm is operated based on a first angle of a reference surface and a second angle measured by the first inclinometer.,"1. A robot disposed within a processing chamber having a ceiling surface including a jig, the robot comprising: an arm having an end effector configured to grasp an object;a first inclinometer provided on a surface of the end effector or on the object grasped by the end effector;a controller configured to operate the arm based on a first angle of a reference surface of the jig relative to a plane in the robot coordinate system and a second angle of a predetermined surface of the end effector relative to the plane in the robot coordinate system; anda laser processing device provided on the ceiling surface, parallel to the reference surface,wherein the object is a workpiece and the laser processing device is configured to emit a laser onto the workpiece to surface process the workpiece, andwherein the first inclinometer is configured to measure the second angle.",15/244106,10369703,2017-0057093,2016-08-23,2019-08-06,Seiko Epson Corporation,SEIKO EPSON CORPORATION,JP,B25J-0013/089,B25J-0013/089,B25J-0013/089 | B25J-0009/1694 | B25J-0013/085 | G05B-2219/39056 | G05B-2219/39177 | G05B-2219/40042,17100245,3,9,3,17,4919032001906
15/244000,10086456,Wire electric discharge machine capable of machining various surfaces,"A wire electric discharge machine according to the present invention includes a multijoint robot including a wire crossing mechanism for crossing a wire electrode on its tip end, a robot controller for controlling the multijoint robot, a numerical controller for controlling the wire electric discharge machine, and a transmission unit for transmitting a coordinate position when the multijoint robot is driven and controlled to move the wire crossing mechanism from the robot controller to the numerical controller, and the numerical controller synchronizes a position of each shaft of the wire electric discharge machine with a movement of the wire crossing mechanism with reference to the coordinate position transmitted by the transmission unit.","1. A wire electric discharge machine for relatively moving a wire electrode and a work to perform electric discharge machining on the work, the wire electric discharge machine comprising: a controller for controlling the wire electric discharge machine; anda wire crossing device including a wire crossing mechanism for crossing the wire electrode, the wire crossing device configured to control a position and a posture of the wire crossing mechanism, andtransmit a coordinate position, when the wire crossing mechanism is moved, from the wire crossing device to the controller,wherein the controller synchronizes a position of each shaft of the wire electric discharge machine with a movement of the wire crossing mechanism with reference to the coordinate position transmitted by the wire crossing device.",15/244000,10086456,2017-0056991,2016-08-23,2018-10-02,FANUC CORPORATION,FANUC CORPORATION,JP,B23H-0007/065,B23H-0007/065,B23H-0007/065 | B23H-0007/105 | B23H-0011/00 | B25J-0011/00 | Y10S-0901/42,5087543,5,17,2,5,4918040001726
15/244194,10272530,System and method for assembly manufacturing,"A method for assembly manufacturing may include the steps of: (1) positioning, by a material-handling system, an unassembled workpiece in a first assembly position within a tacking cell, (2) performing, by a first plurality of fastening machines, a tack fastening operation on the unassembled workpiece to form a partially assembled workpiece, (3) transferring, by the material-handling system, the partially assembled workpiece from the tacking cell to a fastening cell, (4) positioning, by the material-handling system, the partially assembled workpiece in a second assembly position within the fastening cell, and (5) performing, by a second plurality of fastening machines, a final fastening operation on the partially assembled workpiece to form an assembled workpiece.","1. A method for assembly manufacturing comprising: positioning, by a material-handling system, an unassembled workpiece in a first assembly position within a tacking cell;performing, by a first plurality of fastening machines, a tack fastening operation on said unassembled workpiece to form a partially assembled workpiece;transferring, by said material-handling system, said partially assembled workpiece from said tacking cell to a fastening cell;positioning, by said material-handling system, said partially assembled workpiece in a second assembly position within said fastening cell; andperforming, by a second plurality of fastening machines, a final fastening operation on said partially assembled workpiece to form an assembled workpiece; andwherein at least one of said fastening machines comprises: a robot frame comprising a throat configured to receive at least a portion of said workpiece;an end effector coupled to said frame about said throat, wherein said end effector is configured to perform at least one assembly operation on said workpiece; anda plurality of linear actuators coupled to said frame, wherein pairs of said linear actuators are coupled to three positions on said frame to position said throat with six degrees of freedom.",15/244194,10272530,2016-0354882,2016-08-23,2019-04-30,The Boeing Company,THE BOEING COMPANY,US,B23P-0021/004,B64F-0005/10,B64F-0005/10 | B64F-0005/50 | Y10T-0029/49829 | Y10T-0029/49947 | Y10T-0029/49956 | Y10T-0029/53417 | B23P-0021/004 | B21J-0015/142 | B25J-0005/02 | B25J-0009/1687 | B25J-0011/00 | B23P-2700/01 | B23P-2700/50 | Y10S-0901/02,110274824,6,18,1,20,4919018001713
15/245589,10926407,Movement control for tracked robot assemblies that manufacture aircraft,"Systems and methods are provided for controlling the motion of a tracked robot assembly. An exemplary method comprises disposing a mobile robot assembly proximate to a fuselage of an aircraft that is being assembled, aligning a left ranging sensor of the assembly with a left target, and aligning a right ranging sensor of the assembly with a right target. The method also includes directing the assembly to traverse to a location within the aircraft fuselage at which a robot on the assembly will perform work upon the fuselage, determining a left distance between the left ranging sensor and the left target while the assembly is moving, determining a right distance between the right ranging sensor and the right target while the assembly is moving, detecting a difference between the determined distances, and adjusting a direction of motion of the assembly based on the difference.","1. A method comprising: disposing a mobile robot assembly having a defined fore portion, aft portion, left portion, and right portion, proximate to a fuselage of an aircraft that is being assembled;facing the assembly in a fore direction at the fuselage;aligning a left ranging sensor, that is attached to the left portion of the assembly, with a left target that is not attached to the assembly and separated from the assembly by a distance in an aft direction;aligning a right ranging sensor, that is attached to the right portion of the assembly, with a right target that is not attached to the assembly and separated from the assembly by a distance in the aft direction;directing the assembly to traverse to a location within the fuselage at which a robot on the assembly will perform work upon the fuselage;determining a first distance between the left ranging sensor and the left target while the assembly is moving in the fore direction;determining a second distance between the right ranging sensor and the right target while the assembly is moving in the fore direction;detecting a difference between the determined distances; andadjusting a direction of motion of the assembly based on the difference.",15/245589,10926407,2018-0056511,2016-08-24,2021-02-23,THE BOEING COMPANY,THE BOEING COMPANY,US,B25J-0009/162,B64F-0005/10,B64F-0005/10 | B25J-0009/162 | B64C-0001/18 | B25J-0005/005 | B25J-0009/0084 | B25J-0009/1687 | B25J-0011/005 | B25J-0019/02 | Y10S-0901/01 | Y10S-0901/46,110400129,9,18,8,20,4921009001937
15/580832,10690558,Robot collision detection method,An external force torque due to a collision as a collision torque estimation value is estimated by subtracting a dynamic torque obtained by an inverse dynamic calculation of a robot from a torque output to a gear reducer by a motor. It is determined that the robot receives an external force if the collision torque estimation value is greater than a predetermined collision detection threshold.,"1. A method of detecting a collision, comprising: providing a robot including a motor, a gear reducer connected to the motor, an encoder detecting a rotation of the motor, a temperature sensor installed to the encoder, and an object which is driven by the motor via the gear reducer;estimating an external force torque caused by a collision as a collision torque estimation value by subtracting a dynamic torque obtained by an inverse dynamic calculation of the robot from a torque output to the gear reducer by the motor;determining that the robot receives an external force if the collision torque estimation value is greater than a predetermined collision detection threshold;setting the predetermined collision detection threshold to a first value in a case where a temperature detected by the temperature sensor is less than a predetermined temperature threshold;setting the predetermined collision detection threshold to a second value less than the first value at a first time point at which the detected temperature is equal to or greater than the predetermined temperature threshold in a case where a maximum value of the collision torque estimation value is less than a first maximum value determination threshold in a period to the first time point from a second time point prior to the first time point by a predetermined length of time;setting the predetermined collision detection threshold to the first value at the first time point in a case where the maximum value of the collision torque estimation value is equal to or greater than the first maximum value determination threshold in the period;providing a second maximum value determination threshold which is greater than the first maximum value determination threshold and is less than the second value; andobtaining a gradient of an approximate straight line obtained by approximating a change of the collision torque estimation value with respect to time in the period,wherein said setting the predetermined collision detection threshold to the first value at the first time point in the case where the maximum value of the collision torque estimation value is equal to or greater than the first maximum value determination threshold in the period comprises:setting the predetermined collision detection threshold to the second value at the first time point in a case where the maximum value of the collision torque estimation value is equal to or greater than the first maximum value determination threshold and is less than the second maximum value determination threshold and the gradient of the approximate straight line is negative in the period;setting the predetermined collision detection threshold to the first value at the first time point in a case where the maximum value of the collision torque estimation value is equal to or greater than the first maximum value determination threshold and is less than the second maximum value determination threshold and the gradient of the approximate straight line is zero or positive in the period: andsetting the predetermined collision detection threshold to the first value at the first time point in a case where the maximum value of the collision torque estimation value is equal to or greater than the second maximum value determination threshold in the period.",15/580832,10690558,2018-0164170,2016-08-24,2020-06-23,"PANASONIC INTELLECTUAL PROPERTY MANAGEMENT CO., LTD.","PANASONIC INTELLECTUAL PROPERTY MANAGEMENT CO., LTD.",JP,G01L-0005/0052,G01L-0005/0052,G01L-0005/0052 | B25J-0009/1674 | B25J-0019/02 | G01L-0003/24 | G01L-0005/226 | G05B-2219/40317 | Y10S-0901/46,5232054,7,14,4,2,4920026003816
15/245787,10144126,Robot system and method of operating a robot system,"A robot system for carrying out a plurality of operations during assembly or maintenance of an aircraft or spacecraft includes a first robot having a base portion, a movable robot arm having a first coupling portion, and a first control means for controlling the robot arm, a plurality of second robots having movement means, a drive portion operable to drive the movement means, a tool portion having a tool for carrying out a specific one of the operations, a second coupling portion adapted to be selectively and releasably coupled with the first coupling portion in a predetermined positional relationship, and a second control means for controlling the respective second robot. The first and second control means are adapted to control the drive portion of one of the second robots and the robot arm to couple the first coupling portion and the respective second coupling portion in the predetermined positional relationship.","1. A robot system for carrying out a plurality of operations during assembly or maintenance of an aircraft or spacecraft, the robot system comprising: a first robot adapted to be positioned in proximity of a fuselage of an aircraft or spacecraft and comprising: a base portion;a movable robot arm connected at one end to the base portion and having at an opposite end a first coupling portion; anda first control means adapted to control the robot arm; anda plurality of second robots, each being smaller than the first robot and comprising: movement means allowing the respective second robot to be supported on a ground surface and allowing translational movement of the second robot along the ground surface and rotary motion about an axis perpendicular to the ground surface;a drive portion operable to drive the movement means to effect at least the translational movement of the respective second robot;a tool portion comprising a tool adapted to carry out a specific operation of the plurality of operations;a second coupling portion adapted to be selectively and releasably coupled with the first coupling portion in a predetermined positional relationship; anda second control means adapted to control the respective second robot,wherein for each operation of the plurality of operations, the plurality of second robots includes at least one second robot, the tool of the at least one second robot is adapted to carry out the respective operation, andwherein the first and second control means are adapted to control the drive portion of one of the second robots and the robot arm to couple the first coupling portion and the respective second coupling portion in the predetermined positional relationship,subsequently the robot arm to move the tool portion together with the second robot held by the robot arm to a selected location at which the specific operation, for which the tool portion of the respective second robot is adapted, is to be carried out, andthen the second robot to carry out the specific operation at the selected location.",15/245787,10144126,2017-0057080,2016-08-24,2018-12-04,AIRBUS OPERATIONS GMBH,AIRBUS OPERATIONS GMBH,DE,B25J-0009/0084,B64F-0005/10,B64F-0005/10 | B25J-0009/0084 | B25J-0009/1682 | B25J-0011/005 | B25J-0011/0075 | B25J-0015/04 | G05B-2219/39128,110288448,6,7,133,18,4918049001638
15/246221,9821472,Gripping mechanism having a large stroke,"A ten-link gripping mechanism having a modular structure and a single degree of freedom, for robots, machines and handling devices, includes at least one eight-link finger mechanism with a gripper jaw, guided as a coupler by two four-bar linkages based one on the other. The choice of the dimensions of the individual elements enables the movement of the gripper jaw to be adapted to the task at hand while using only a single drive. The drive can be of a universal type, such as pneumatic, electromotive, magnetic or by means of a spring.","1. A gripping mechanism for robots, machines, handling devices and the like, comprising: a gripper flange,a linkage mechanism having at least eight bar elements, andat least one moveable gripper jaw or finger, guided in constrained motion by the linkage mechanism on a trajectory,the moveable gripper jaw or finger being guided as a coupler of a first four-bar linkage of the linkage mechanism that is pivotably guided by a long binary element and a long ternary element of the first four-bar linkage, the long binary element and the long ternary element being pivotably linked to a fourth element of the first four-bar linkage that is pivotably guided as a coupler of a second four-bar linkage by two elements of the second-four-bar linkage that are pivotably linked to a ternary element of the second four-bar linkage, the ternary element of the first four-bar linkage being pivotably linked to the ternary element of the second four-bar linkage by a further element,the ternary element of the second four-bar linkage being connected directly or indirectly to the gripper flange of the gripping mechanism, andone of the three elements pivotably linked to the ternary element of the second-four-bar linkage serving as a single drive of the linkage mechanism, the linkage mechanism having a single degree of freedom and being driven solely by the single drive.",15/246221,9821472,2017-0057096,2016-08-24,2017-11-21,M. Mohsen Saadat,M. Mohsen Saadat,DE,B25J-0015/0028,B25J-0015/0028,B25J-0015/0028 | B25J-0015/0266 | B25J-0015/10,27970276,3,12,14,18,4917047001714
15/246599,10464211,Generating control signal for tele-presence robot,"A computer-implemented method for generating a control signal for a tele-presence robot by a computing device based on a movement of an operator, the method includes calculating a direction where at least part of the operator is positioned based on a camera acquiring an image of the at least part of the operator; calculating an orientation where the at least part of the operator points; and generating at least one motion parameters of the tele-presence robot as the control signal based on the direction in combination with the orientation, wherein the direction and the orientation are reflected to the at least one motion parameters differently.","1. A computer-implemented method for generating a control signal for a tele-presence robot by a computing device of an operator having a first camera and a first display based on a movement of the operator having a face, wherein the tele-presence robot having a movable head with a second camera and a second display, the method comprising: calculating a direction where at least part of the operator is positioned based on the first camera acquiring an image of the at least part of the operator, wherein the direction is reflected in a point symmetric manner;calculating an orientation where the face of the operator points, wherein the orientation is reflected in a synchronized manner from the movement of the operator to the movement of the tele-presence robot; andgenerating at least one motion parameters for the movable head of the tele-presence robot as the control signal based on the direction in combination with the orientation;wherein the direction and the orientation are reflected to the at least one motion parameters differently, wherein the at least one motion parameters includes at least one pan angle and at least one tilt angle.",15/246599,10464211,2017-0057090,2016-08-25,2019-11-05,International Business Machines Corporation,INTERNATIONAL BUSINESS MACHINES CORPORATION,US,B25J-0009/1689,B25J-0009/1689,B25J-0009/1689 | B25J-0009/1697 | H04N-0007/142,17136326,3,15,4,19,4919045002128
15/744979,11119470,Industrial robot process cloud system and working method thereof,"The present invention relates to an industrial robot process cloud system and a working method thereof. The industrial robot process cloud system comprises an industrial robot control system integrated with a human machine interaction layer HMI, a motion planning control layer Motion and a servo loop control layer Servo, and further comprises a cloud server, wherein the cloud server comprises a process expert system. The human machine interaction layer HMI and the motion planning control layer Motion realize data interaction with the cloud server by means of a network, after the human machine interaction layer HMI inputs operation information, the operation information is transmitted to the cloud server, and a specific robot operation program is generated and downloaded into the industrial robot control system by means of the network. The present invention realizes cloud processing performed to process experiences on various operation types of industrial robots, the process expert system is formed, data interaction and real-time evolution learning of the process expert system are realized by means of the network, the user can conveniently call in real time the robot process program which best satisfies actual requirements and the changeover production efficiency is improved.","1. An industrial robot process cloud system, comprising an industrial robot control system integrated with a human machine interaction layer HMI, a motion planning control layer and a servo loop control layer Servo, wherein: said industrial robot process cloud system further comprises a cloud server, said cloud server comprising a process expert system;said human machine interaction layer HMI and said motion planning control layer realize data interaction with said cloud server by means of a network via a specific data interaction communication protocol, after said human machine interaction layer HMI inputs operation information, said operation information is transmitted to said cloud server, and after said cloud server searches an existing template program in said process expert system or performs similarity comparison and reasoning computation, a specific robot operation program is formed and downloaded into said industrial robot control system by means of said network; androbot sensors for sensing real-time data of an industrial robot is integrated in said industrial robot control system, final operation data during batch operation performed by said industrial robot to workpieces are transmitted to said cloud server, and said cloud server completes optimization, learning and evolution of said process expert system by comparing and learning from the difference between said original downloaded operation program and final operation data.",15/744979,11119470,2018-0210432,2016-08-25,2021-09-14,"EFORT INTELLIGENT EQUIPMENT CO., LTD.","EFORT INTELLIGENT ROBOT CO.,LTD.",CN,G05B-0019/41855,H04L-0009/40,H04L-0009/40 | Y02P-0090/02 | G05B-0019/41855 | B25J-0009/16 | B25J-0009/161 | B25J-0009/163 | B25J-0009/1656 | G05B-0019/418 | G05B-0019/4183 | G05B-0019/4186 | G05B-0019/41865 | G05B-2219/31422 | G05B-2219/40383,5221993,6,8,7,20,4921038003986
15/246634,10105848,Machine that stops movement of member on drive axis due to abnormality in brake,"A robot includes a motor that includes a brake and moves an arm on a drive axis, and a rotational position detector that detects movement of the arm. When a state occurs in which the robot is preferably emergency-stopped, a control device performs an emergency stop control in which the brake is operated and power supply to the motor is interrupted. When the movement of the arm is detected based on an output of the rotational position detector during the emergency stop control, the control device supplies power to the motor to prevent the movement of the arm.","1. A machine, comprising: a motor that comprises a brake and moves a predetermined member on a drive axis;a state detector that detects movement of the member on the drive axis; anda control device that controls the brake and the motor,wherein, when a state occurs in which an emergency stop is to be performed, the control device is adapted to operate the brake and interrupt power supply to the motor to perform an emergency stop control for maintaining a stopped position of the member, and when the movement of the member on the drive axis is detected based on an output of the state detector during the emergency stop control, the control device is adapted to supply power to the motor to prevent the movement of the member.",15/246634,10105848,2017-0057089,2016-08-25,2018-10-23,FANUC CORPORATION,FANUC CORPORATION,JP,B25J-0009/1674,B25J-0009/1674,B25J-0009/1674 | G05B-0019/406 | G05B-2219/41279,17100262,4,13,4,3,4918043001666
15/558194,10350981,Mobile robot triangle chassis assembly,"A mobile robot triangle chassis assembly is disclosed, which includes a housing, a top plate, an isolation plat, a bottom plate, a power package, multiple support beams and three sets of gear trains. The three sets of gear trains are equilaterally triangularly distributed, each of which includes a motor, a speed reducer, a support frame and an omnidirectional wheel. The mobile robot triangle chassis assembly has a double-layer structure, the three sets of gear trains are located at a lower layer of the double-layer structure, and the power package is located at an upper layer of the double-layer structure, so as to reduce an occupied area of the mobile robot triangle chassis assembly. In the mobile robot triangle chassis assembly, only the bottom of the omnidirectional wheel is located outside the bottom plate, so that components within the mobile robot triangle chassis assembly are protected.","1. A mobile robot triangle chassis assembly comprising: a housing (11), a top plate (12), an isolation plate (13), a bottom plate (14), a power package, multiple support beams (15) and three sets of gear trains (30), wherein the top plate (12) and the bottom plate (14) are distributed up and down; the isolation plate (13) is located between the top plate (12) and the bottom plate (14); the top plate (12), the bottom plate (14) and the isolation plate (13) are fixedly connected with each other through the support beams (15); the power package is fixedly connected with the isolation plate (13); the three sets of gear trains (30) are equilaterally triangularly distributed, each of the three sets of gear trains (30) comprises a motor (31), a speed reducer (32), a support frame (33) and an omnidirectional wheel (34), wherein an upper end of the support frame (33) is fixedly connected with a lower surface of the isolation plate (13); a lower end of the support frame (33) is fixedly connected with an upper surface of the bottom plate (14); the omnidirectional wheel (34) is located within the support frame (33) and driven by the motor (31) and the speed reducer (32); the speed reducer (32) is fixedly connected with the support frame (33); the motor (31) is fixedly connected with the speed reducer (32); a driver (40) for controlling all three motors (31) is located at the upper surface of the bottom plate (14); the bottom plate (14) has through-holes (141); a bottom of the omnidirectional wheel (34) is located outside the through-holes (141);the speed reducer (32) is a bevel gear speed reducer, and an outer periphery of the speed reducer (32) is bent at an angle of 90 degrees.",15/558194,10350981,2018-0236862,2016-08-25,2019-07-16,"SICHUAN ARTIGENT ROBOTICS EQUIPMENT CO., LTD","SICHUAN ARTIGENT ROBOTICS EQUIPMENT CO., LTD",CN,B60K-0001/02,B60L-0050/66,B60L-0050/66 | B60L-0053/16 | B60K-0001/04 | B25J-0005/007 | B60K-0001/00 | B60K-0001/02 | B60K-0007/0007 | B60K-0017/043 | B62D-0011/04 | B62D-0015/00 | B62D-0061/06 | B60K-2007/0038 | B60K-2007/0069 | B60L-2210/10 | B60Y-2304/01 | Y02T-0010/70 | Y02T-0010/7072 | Y02T-0010/72 | Y02T-0090/14 | Y10S-0901/01,28162266,3,13,3,3,4919029002044
15/753963,11298533,Concerted use of noninvasive neuromodulation device with exoskeleton to enable voluntary movement and greater muscle activation when stepping in a chronically paralyzed subject,In various embodiments a method of synergistically using a neuromodulation stimulator and a robotic exoskeleton for the restoration of voluntary movement and greater muscle activation in chronically paralyzed subjects is provided. The noninvasive neuromodulation system delivers signals to facilitate the restoration and/or enhancement of neurological function where at least one effect is strengthened stepping capacity that can be further substantiated when coupled with robotic exoskeleton assistance.,"1. A method for assisting a human subject with one or more functions, the human subject having at least one of: a spinal cord injury, a brain injury, and a neurodegenerative pathology, and the one or more functions comprising at least one of: postural stabilization, postural strength, locomotor activity, locomotor strength, reaching activity, and reaching strength, said method comprising: applying transcutaneous stimulation to at least one of: a spinal cord, a brainstem, a brain, and sacral nerves of said subject, thereby activating neural networks of the spinal cord;utilizing an exoskeletal system to expose said subject to proprioceptive signals associated with at least one of: postural changes, weight bearing, locomotor activity, and reaching; andwhereby utilizing a combination of the transcutaneous stimulation and the exoskeletal system assists said subject in said one or more functions.",15/753963,11298533,2018-0280693,2016-08-26,2022-04-12,THE REGENTS OF THE UNIVERSITY OF CALIFORNIA,THE REGENTS OF THE UNIVERSITY OF CALIFORNIA,US,A61N-0001/36003,A61N-0001/36034,A61N-0001/36034 | A61N-0001/36031 | A61N-0001/36003 | A61F-0005/01 | A61G-0005/14 | A61H-0001/024 | A61H-0001/0244 | A61H-0001/0262 | A61H-0003/00 | A61N-0001/0408 | A61N-0001/0456 | A61N-0001/0476 | A61N-0001/0484 | B25J-0009/0006 | A61H-0001/0277 | A61H-0001/0281 | A61H-0003/02 | A61H-2201/10 | A61H-2201/1207 | A61H-2201/1614 | A61H-2201/1623 | A61H-2201/1628 | A61H-2201/1635 | A61H-2201/164 | A61H-2201/165 | A61H-2201/50 | A61H-2201/5025 | A61H-2201/5061 | A61H-2201/5064 | A61N-0001/36057,28511431,3,447,28,23,4922015001480
15/248569,10250169,Robot system,"A robot system includes a motor, an inverter, a first control portion, and a second control portion. The motor includes stator windings for three phases. The inverter includes series-connection bodies of a high-side switch and a low-side switch for three phases. A connection point of the high-side switch and the low-side switch for each of the phases is connected with the corresponding stator winding. One of the high-side switch and the low-side switch for each of the phases works as a brake switch. The first control portion and the second control portion performs a driving control of the brake switches. Each of the first control portion and the second control portion has a function of monitoring the robot system, and turns on the brake switches for at least two phases when detecting that an abnormality occurs in the robot system.","1. A robot system comprising: a motor including stator windings for three phases and driving each rotation axis of a robot;an inverter including series-connection bodies of a high-side switch and a low-side switch for the three phases, and alternately turning on the high-side switch and the low-side switch to apply an alternating-current voltage to the corresponding stator winding using an external power source as a power supply source, a connection point of the high-side switch and the low-side switch for each of the phases being connected with the corresponding stator winding, one of the high-side switch and the low-side switch for each of the phases working as a brake switch; anda first control portion and a second control portion performing a driving control of the brake switches, each of the first control portion and the second control portion having a function of monitoring the robot system, and each of the first control portion and the second control portion turning on the brake switches for at least two phases when detecting that an abnormality occurs in the robot system, whereineach of the first control portion and the second control portion has a function of monitoring an abnormality in each other,the first control portion turns on the brake switches for at least two phases when detecting that an abnormality occurs in the second control portion, andthe second control portion turns on the brake switches for at least two phases when detecting that an abnormality occurs in the first control portion.",15/248569,10250169,2017-0093309,2016-08-26,2019-04-02,DENSO WAVE INCORPORATED,DENSO WAVE INCORPORATED,JP,H02P-0003/22,H02P-0029/0241,H02P-0029/0241 | H02P-0003/22 | B25J-0009/12 | B25J-0009/126 | B25J-0009/1674 | B25J-0019/0004 | B25J-0019/06 | H02P-0027/06 | H02P-0029/024 | G05B-2219/41285,17112830,2,11,8,7,4919014006150
15/756425,10527353,Workpiece transfer apparatus for furnace,"A workpiece transfer apparatus for a furnace includes a carrier having access to a furnace and carrying a workpiece placed thereon, a controller for controlling movement of the carrier, the controller for determining an amount of deformation of the carrier by heat of the furnace, and the controller for determining an adjustment to the attitude of the carrier on the basis of the amount of deformation of the carrier, wherein when handing over the workpiece for a next process tool, the carrier is moved into an adjusted attitude.","1. A workpiece transfer apparatus for a furnace, comprising: a robot comprising an arm and a controller,a carrier attached to the arm and having a placement surface for carrying a workpiece into and/or out of a furnace, anda sensor for detecting an arrival of an object at a specific position, the sensor being coupled to the controller,the controller being configured to: i) cause the robot to move the carrier so that the sensor detects an arrival of the distal end of the carrier at the specific position,ii) determine a droop amount of the distal end of the carrier heated by the furnace based on a position of a base of the carrier at the time when the sensor detects the arrival of the distal end of the carrier at the specific position,iii) determine an adjusted handover position of the carrier based on the determined droop amount of the carrier, the adjusted handover position including at least one of an adjusted height and an adjusted angle of the placement surface of the carrier, andiv) cause the robot to move the carrier to the adjusted handover position for handover of the workpiece.",15/756425,10527353,2018-0245849,2016-08-29,2020-01-07,"TOYODA IRON WORKS CO., LTD.","TOYODA IRON WORKS CO., LTD.",JP,F27D-0003/06,F27D-0003/06,F27D-0003/06 | B25J-0011/00 | B25J-0013/08 | B65G-0001/00 | G05B-0019/4189 | G05B-2219/50362,5228504,5,14,1,5,4920002003673
